start,end,speaker,text
0.005,1.925,SPEAKER_00,"and here's the picture"
3.925,4.305,SPEAKER_01,"All right,"
5.345,5.945,SPEAKER_01,"family is"
6.305,7.165,SPEAKER_01,"in the kitchen."
7.785,8.205,SPEAKER_01,"Mother's"
8.845,9.705,SPEAKER_01,"washing dishes,"
10.665,12.365,SPEAKER_01,"and her sink is overflowing"
13.845,14.745,SPEAKER_01,"out the window."
15.865,17.065,SPEAKER_01,"And two kids"
17.365,19.645,SPEAKER_01,"are taking their steel and cookies off them"
20.145,24.925,SPEAKER_01,"out of the cupboard. Boy, he looks like he's going to fall down and hurt himself and fall against his mother."
25.645,29.765,SPEAKER_01,"The girl is just trying to make too much noise. She's laughing. Or else she's laughing."
31.645,32.665,SPEAKER_01,"All right, now there will"
34.485,34.545,SPEAKER_01,"be"
35.105,36.905,SPEAKER_01,"ice. Look out at that room."
37.185,39.625,SPEAKER_01,"I told you the water was running over and splashing."
40.945,45.085,SPEAKER_01,"Mother doesn't seem to affect his eyes. She's dry on a ditch,"
45.525,46.125,SPEAKER_01,"wiping him."
50.225,52.625,SPEAKER_01,"Because the girl was laughing at her brother because he's going over and"
54.885,55.705,SPEAKER_00,"okay okay"
56.925,58.165,SPEAKER_01,"looks like a nice house."
63.145,63.765,SPEAKER_00,"uh"
68.105,68.605,SPEAKER_00,"-huh"
68.605,68.945,SPEAKER_01,"You"
71.725,73.005,SPEAKER_00,"okay good"
73.005,74.125,SPEAKER_01,"see what I'm making reference to?"
74.125,75.065,SPEAKER_00,"yeah yeah"
75.065,75.325,SPEAKER_01,"Thank you."
75.345,76.105,SPEAKER_00,"I see"
76.465,77.145,SPEAKER_00,"uh -huh"
